t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l,holding_r,holding_l,manual_pwm_mode
2.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
2.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.309,0.0,0.0,0.0,0.0,0.0025,0.0025,-0.0025,-0.0025,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.359,0.0,0.0,0.0,0.0,0.0025,0.0025,-0.0025,-0.0025,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.409,0.0,0.0,0.0,0.0,0.0025,0.0025,-0.0025,-0.0025,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.459,0.0,0.0,0.0,0.0,0.002,0.002,-0.002,-0.002,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.509,0.0,0.0,0.0,0.0,0.002,0.002,-0.002,-0.002,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.559,0.0,0.0,0.0,0.0,0.002,0.002,-0.002,-0.002,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.609,0.0,0.0,0.0,0.0,0.0016,0.0016,-0.0016,-0.0016,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.659,0.0,0.0,0.0,0.0,0.0016,0.0016,-0.0016,-0.0016,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.709,0.0,0.0,0.0,0.0,0.0016,0.0016,-0.0016,-0.0016,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.759,0.0,0.0,0.0,0.0,0.0013,0.0013,-0.0013,-0.0013,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.809,0.0,0.0,0.0,0.0,0.0013,0.0013,-0.0013,-0.0013,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.859,0.0,0.0,0.0,0.0,0.001,0.001,-0.001,-0.001,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.909,0.0,0.0,0.0,0.0,0.001,0.001,-0.001,-0.001,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
3.959,0.0,0.0,0.0,0.0,0.001,0.001,-0.001,-0.001,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
4.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
5.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,True,True,False
